"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2012","10.70","10.70","10.70","10.70","0","4.29"
"Oct 29, 2012","10.60","10.60","10.60","10.60","0","-0.93"
"Oct 30, 2012","10.89","10.89","10.89","10.89","0","2.74"
"Oct 31, 2012","11.20","11.20","11.20","11.20","0","2.85"
"Nov 01, 2012","10.57","10.57","10.57","10.57","0","-5.63"
"Nov 02, 2012","10.47","10.47","10.47","10.47","0","-0.95"
"Nov 03, 2012","10.64","10.64","10.64","10.64","0","1.62"
"Nov 04, 2012","10.80","10.80","10.80","10.80","0","1.50"
"Nov 05, 2012","10.75","10.75","10.75","10.75","0","-0.46"
"Nov 06, 2012","10.90","10.90","10.90","10.90","0","1.40"
"Nov 07, 2012","10.92","10.92","10.92","10.92","0","0.18"
"Nov 08, 2012","10.92","10.92","10.92","10.92","0","0.00"
"Nov 09, 2012","10.81","10.81","10.81","10.81","0","-1.01"
"Nov 10, 2012","10.89","10.89","10.89","10.89","0","0.74"
"Nov 11, 2012","10.87","10.87","10.87","10.87","0","-0.18"
"Nov 12, 2012","11.01","11.01","11.01","11.01","0","1.29"
"Nov 13, 2012","10.95","10.95","10.95","10.95","0","-0.54"
"Nov 14, 2012","10.95","10.95","10.95","10.95","0","0.00"
"Nov 15, 2012","11.20","11.20","11.20","11.20","0","2.28"
"Nov 16, 2012","11.75","11.75","11.75","11.75","0","4.91"
"Nov 17, 2012","11.79","11.79","11.79","11.79","0","0.34"
"Nov 18, 2012","11.65","11.65","11.65","11.65","0","-1.19"
"Nov 19, 2012","11.80","11.80","11.80","11.80","0","1.29"
"Nov 20, 2012","11.73","11.73","11.73","11.73","0","-0.59"
"Nov 21, 2012","11.77","11.77","11.77","11.77","0","0.34"
"Nov 22, 2012","12.42","12.42","12.42","12.42","0","5.52"
"Nov 23, 2012","12.34","12.34","12.34","12.34","0","-0.64"
"Nov 24, 2012","12.41","12.41","12.41","12.41","0","0.57"
"Nov 25, 2012","12.48","12.48","12.48","12.48","0","0.56"
"Nov 26, 2012","12.25","12.25","12.25","12.25","0","-1.84"
"Nov 27, 2012","12.20","12.20","12.20","12.20","0","-0.41"
"Nov 28, 2012","12.35","12.35","12.35","12.35","0","1.23"
"Nov 29, 2012","12.45","12.45","12.45","12.45","0","0.81"
"Nov 30, 2012","12.56","12.56","12.56","12.56","0","0.88"
"Dec 01, 2012","12.56","12.56","12.56","12.56","0","0.00"
"Dec 02, 2012","12.50","12.50","12.50","12.50","0","-0.48"
"Dec 03, 2012","12.68","12.68","12.68","12.68","0","1.44"
"Dec 04, 2012","13.41","13.41","13.41","13.41","0","5.76"
"Dec 05, 2012","13.38","13.38","13.38","13.38","0","-0.22"
"Dec 06, 2012","13.30","13.30","13.30","13.30","0","-0.60"
"Dec 07, 2012","13.50","13.50","13.50","13.50","0","1.50"
"Dec 08, 2012","13.42","13.42","13.42","13.42","0","-0.59"
"Dec 09, 2012","13.39","13.39","13.39","13.39","0","-0.22"
"Dec 10, 2012","13.43","13.43","13.43","13.43","0","0.30"
"Dec 11, 2012","13.56","13.56","13.56","13.56","0","0.97"
"Dec 12, 2012","13.70","13.70","13.70","13.70","0","1.03"
"Dec 13, 2012","13.70","13.70","13.70","13.70","0","0.00"
"Dec 14, 2012","13.60","13.60","13.60","13.60","0","-0.73"
"Dec 15, 2012","13.49","13.49","13.49","13.49","0","-0.81"
"Dec 16, 2012","13.30","13.30","13.30","13.30","0","-1.41"
"Dec 17, 2012","13.25","13.25","13.25","13.25","0","-0.38"
"Dec 18, 2012","13.30","13.30","13.30","13.30","0","0.38"
"Dec 19, 2012","13.60","13.60","13.60","13.60","0","2.26"
"Dec 20, 2012","13.52","13.52","13.52","13.52","0","-0.59"
"Dec 21, 2012","13.50","13.50","13.50","13.50","0","-0.15"
"Dec 22, 2012","13.37","13.37","13.37","13.37","0","-0.96"
"Dec 23, 2012","13.31","13.31","13.31","13.31","0","-0.45"
"Dec 24, 2012","13.38","13.38","13.38","13.38","0","0.53"
"Dec 25, 2012","13.35","13.35","13.35","13.35","0","-0.22"
"Dec 26, 2012","13.47","13.47","13.47","13.47","0","0.90"
"Dec 27, 2012","13.42","13.42","13.42","13.42","0","-0.37"
"Dec 28, 2012","13.42","13.42","13.42","13.42","0","0.00"
"Dec 29, 2012","13.40","13.40","13.40","13.40","0","-0.15"
"Dec 30, 2012","13.45","13.45","13.45","13.45","0","0.37"
"Dec 31, 2012","13.51","13.51","13.51","13.51","0","0.45"
"Jan 01, 2013","13.30","13.30","13.30","13.30","0","-1.55"
"Jan 02, 2013","13.28","13.28","13.28","13.28","0","-0.15"
"Jan 03, 2013","13.40","13.40","13.40","13.40","0","0.90"
"Jan 04, 2013","13.50","13.50","13.50","13.50","0","0.75"
"Jan 05, 2013","13.44","13.44","13.44","13.44","0","-0.44"
"Jan 06, 2013","13.45","13.45","13.45","13.45","0","0.07"
"Jan 07, 2013","13.59","13.59","13.59","13.59","0","1.04"
"Jan 08, 2013","13.74","13.74","13.74","13.74","0","1.10"
"Jan 09, 2013","13.77","13.77","13.77","13.77","0","0.22"
"Jan 10, 2013","14.14","14.14","14.14","14.14","0","2.69"
"Jan 11, 2013","14.14","14.14","14.14","14.14","0","0.00"
"Jan 12, 2013","14.24","14.24","14.24","14.24","0","0.71"
"Jan 13, 2013","14.12","14.12","14.12","14.12","0","-0.84"
"Jan 14, 2013","14.30","14.30","14.30","14.30","0","1.27"
"Jan 15, 2013","14.25","14.25","14.25","14.25","0","-0.35"
"Jan 16, 2013","14.73","14.73","14.73","14.73","0","3.37"
"Jan 17, 2013","15.50","15.50","15.50","15.50","0","5.23"
"Jan 18, 2013","15.70","15.70","15.70","15.70","0","1.29"
"Jan 19, 2013","15.61","15.61","15.61","15.61","0","-0.57"
"Jan 20, 2013","15.70","15.70","15.70","15.70","0","0.58"
"Jan 21, 2013","16.80","16.80","16.80","16.80","0","7.01"
"Jan 22, 2013","17.26","17.26","17.26","17.26","0","2.74"
"Jan 23, 2013","17.50","17.50","17.50","17.50","0","1.39"
"Jan 24, 2013","16.90","16.90","16.90","16.90","0","-3.43"
"Jan 25, 2013","17.40","17.40","17.40","17.40","0","2.96"
"Jan 26, 2013","17.88","17.88","17.88","17.88","0","2.76"
"Jan 27, 2013","17.82","17.82","17.82","17.82","0","-0.34"
"Jan 28, 2013","18.72","18.72","18.72","18.72","0","5.05"
"Jan 29, 2013","19.53","19.53","19.53","19.53","0","4.33"
"Jan 30, 2013","19.70","19.70","19.70","19.70","0","0.87"
"Jan 31, 2013","20.41","20.41","20.41","20.41","0","3.60"
"Feb 01, 2013","20.50","20.50","20.50","20.50","0","0.44"
"Feb 02, 2013","19.63","19.63","19.63","19.63","0","-4.24"
"Feb 03, 2013","20.59","20.59","20.59","20.59","0","4.89"
"Feb 04, 2013","20.43","20.43","20.43","20.43","0","-0.78"
"Feb 05, 2013","20.60","20.60","20.60","20.60","0","0.83"
"Feb 06, 2013","21.18","21.18","21.18","21.18","0","2.82"
"Feb 07, 2013","22.15","22.15","22.15","22.15","0","4.58"
"Feb 08, 2013","22.66","22.66","22.66","22.66","0","2.30"
"Feb 09, 2013","23.65","23.65","23.65","23.65","0","4.37"
"Feb 10, 2013","23.97","23.97","23.97","23.97","0","1.35"
"Feb 11, 2013","24.65","24.65","24.65","24.65","0","2.84"
"Feb 12, 2013","25.17","25.17","25.17","25.17","0","2.11"
"Feb 13, 2013","24.20","24.20","24.20","24.20","0","-3.85"
"Feb 14, 2013","27.22","27.22","27.22","27.22","0","12.48"
"Feb 15, 2013","27.10","27.10","27.10","27.10","0","-0.44"
"Feb 16, 2013","27.22","27.22","27.22","27.22","0","0.44"
"Feb 17, 2013","26.81","26.81","26.81","26.81","0","-1.51"
"Feb 18, 2013","26.95","26.95","26.95","26.95","0","0.52"
"Feb 19, 2013","29.42","29.42","29.42","29.42","0","9.17"
"Feb 20, 2013","29.64","29.64","29.64","29.64","0","0.75"
"Feb 21, 2013","29.75","29.75","29.75","29.75","0","0.37"
"Feb 22, 2013","30.25","30.25","30.25","30.25","0","1.68"
"Feb 23, 2013","29.80","29.80","29.80","29.80","0","-1.49"
"Feb 24, 2013","29.89","29.89","29.89","29.89","0","0.30"
"Feb 25, 2013","30.40","30.40","30.40","30.40","0","1.71"
"Feb 26, 2013","31.10","31.10","31.10","31.10","0","2.30"
"Feb 27, 2013","30.90","30.90","30.90","30.90","0","-0.64"
"Feb 28, 2013","33.38","33.38","33.38","33.38","0","8.03"
"Mar 01, 2013","34.50","34.50","34.50","34.50","0","3.36"
"Mar 02, 2013","34.25","34.25","34.25","34.25","0","-0.72"
"Mar 03, 2013","34.50","34.50","34.50","34.50","0","0.73"
"Mar 04, 2013","36.15","36.15","36.15","36.15","0","4.78"
"Mar 05, 2013","40.33","40.33","40.33","40.33","0","11.56"
"Mar 06, 2013","41.02","41.02","41.02","41.02","0","1.71"
"Mar 07, 2013","42.00","42.00","42.00","42.00","0","2.39"
"Mar 08, 2013","44.18","44.18","44.18","44.18","0","5.19"
"Mar 09, 2013","46.85","46.85","46.85","46.85","0","6.04"
"Mar 10, 2013","46.00","46.00","46.00","46.00","0","-1.81"
"Mar 11, 2013","48.40","48.40","48.40","48.40","0","5.22"
"Mar 12, 2013","44.29","44.29","44.29","44.29","0","-8.49"
